Avg_TCP_transmition,Avg_RTT,Avg_TP,MSISDN/Number
641157423284.7352,3033113.2359543424,832626680.0,19727
191475493090.38718,735741.741631481,73815132.0,9395
186582302387.63928,1043816.5231141789,89018073.0,8904
171563885706.91336,917579.3758604092,68145840.0,8993
112152550871.2013,702387.9444109342,76077278.0,6279
104013271153.4455,504845.76942601387,57611989.0,4977
94983823115.81784,552962.5802625611,61721810.0,4464
93168536205.21355,438956.84555283195,31972066.0,5165
92610116020.43617,311853.2031013708,62149259.0,4556
81428128730.02185,422667.860723339,17090119.0,3675
74520367656.04597,336063.6058229106,56873654.0,3806
71799559165.7151,478701.46528612013,31588639.0,3700
65283368879.13622,416904.98486052494,17535500.0,3456
61740043821.377945,410989.6690037855,35211815.0,3171
60230295321.39165,205141.4396720079,39193861.0,3013
54522453287.140686,343061.7353129125,64208823.0,2074
54386422265.70073,319706.49876019626,25246567.0,2571
46031397612.17316,276419.3973591043,23243349.0,1939
38711348411.94761,165161.23689255462,17185873.0,2176
37812999881.63452,254190.41694072375,18886142.0,2012
35014118742.95263,219473.99495948193,29939656.0,1857
34979306848.56446,214755.73153252396,10656769.0,1624
34663709074.11846,114653.08212346911,21614791.0,1475
30079894033.54138,114657.6734052783,9818395.0,1296
28846359225.094215,88584.27890627141,19228780.0,1317
28495780199.453102,162432.70152172865,17895855.0,1364
27558220645.597282,170580.26848539693,8562817.0,1069
25508731502.082844,190350.24385014828,18689057.0,1279
25233236647.8916,108340.17498492042,17514064.0,960
24670051540.38727,120521.93809236579,5862518.0,996
23830841444.28322,127658.95578794167,15872679.0,1141
23713349559.41946,114986.87618473159,9843517.0,1235
22514165641.62795,77400.27890627141,19080597.0,1255
16375147954.03617,120975.49905938309,13188521.0,925
15966624754.023674,68184.73531291251,4224428.0,389
15819918546.378397,97982.61655608304,4714508.0,712
13799645635.786547,86965.59444109343,6992056.0,835
13514859555.364359,62751.548329880374,1690195.0,552
13080620372.549799,80479.58054382699,7476832.0,748
12863129931.849113,88627.61339679881,10595709.0,675
12481353466.548588,170705.21983600396,8622716.0,861
12054910782.828796,92553.47884354819,9259400.0,759
11042294087.54337,28836.828174363814,1625100.0,220
10549188386.87095,46110.453569274345,7455764.0,626
9589580827.506117,54447.837652216505,2760832.0,358
9461081588.871305,59398.078964184875,6409859.0,586
8946272563.336622,101282.76626672961,5123483.0,525
8719686891.20195,50124.87618473158,6383717.0,516
7882405732.359932,31681.710677663865,1347788.0,231
7875058324.054245,74258.45356927435,7573910.0,447
6253315311.930039,36692.76626672961,5808315.0,350
6089437265.512348,32621.656348727633,2593876.0,142
6068544104.166692,36079.47694439347,2776554.0,287
5548170885.543678,13349.828174363816,1086440.0,132
5280998317.919073,42792.14435302079,3119204.0,308
5231366559.392283,18443.23689255462,4005615.0,138
4815901672.311618,26830.0,3300125.0,268
4593881458.730687,22976.312697455265,3219660.0,325
4540044163.046176,14102.14087181908,2198030.0,194
4510423296.213082,27959.797220546712,1579439.0,229
4259484214.7581377,60418.969046182894,2970357.0,199
4247630023.595777,22936.797220546712,3978622.0,153
4143502723.4652457,32790.28806220662,2305179.0,224
3971221492.230279,1699.828174363816,271885.0,10
3709264386.9894376,1590.625394910529,74389.0,13
3566594959.86376,2566.656348727632,346364.0,57
3529880987.883103,42492.48452309145,7557340.0,227
3498366992.9106965,24745.58370311122,1254819.0,207
3354127970.7426744,16340.969046182896,1810178.0,167
3255714899.2397723,19901.0,1086425.0,101
3200737891.33952,16409.969046182898,2634376.0,208
3160220629.4282064,79869.59444109343,337053.0,202
3141440304.4436693,76515.28174363816,233115.0,187
2993782050.0144897,24495.828174363814,1147457.0,202
2979593184.166597,10004.484523091449,2072406.0,172
2935575055.1405716,19826.656348727633,1640562.0,198
2927297097.7170053,9939.656348727633,2171128.0,171
2908871537.921116,5931.656348727633,227020.0,25
2869501766.1362877,1786.0,405050.0,24
2852561403.0830727,6962.704359095403,1100677.0,57
2822433230.925756,24331.473785109243,1310908.0,164
2730253933.574296,30196.14087181908,2016897.0,210
2672778725.2560434,19548.656348727633,28799.0,168
2615732585.275291,35814.997162633255,3507633.0,186
2539627541.555001,5075.312697455264,1448561.0,101
2504121447.38667,21667.969046182898,1326274.0,147
2405024045.47576,21342.87934401582,2383044.0,156
2390564153.8207984,13492.0,1096375.0,163
2379957309.271863,7134.828174363816,491235.0,101
2371400292.6700687,6444.0,119396.0,10
2278216476.4855623,30007.828174363814,2965310.0,193
2211175093.3500347,8624.828174363816,1320500.0,129
2136738095.1095498,9907.656348727633,1077217.0,106
2123045779.2915146,23230.484523091447,1659910.0,200
2120106264.1823688,31590.48452309145,597016.0,84
2087173439.7742658,4191.0,810114.0,34
2083498855.1454248,22424.828174363814,2123896.0,149
2069241309.1982837,14774.109918001977,2170977.0,139
2036918242.9057002,12140.86228746515,1233472.0,107
1972014111.360597,21940.684465177987,1050252.0,140
1970897596.5228624,20554.828174363814,533377.0,57
1947131564.0257645,8295.484523091449,2482430.0,124
1875181728.0306654,11416.625394910528,1489836.0,128
1828891628.37606,14132.346810556599,1260647.0,116
1811101319.7063477,4327.0,649079.0,59
1788943367.5493395,6796.0,2702639.0,116
